Source,Target,Weight,Type
ZNF736,adolescent idiopathic scoliosis,0.506792120120138,Undirected
ZNF736,PHF-tau measurement,0.5080735885735571,Undirected
ZNF100,systolic blood pressure,0.664878290802986,Undirected
ZNF100,diastolic blood pressure,0.7268170035849668,Undirected
ZNF808,neonatal diabetes mellitus,0.607930797611621,Undirected
ZNF808,pancreatic agenesis,0.607930797611621,Undirected
ZNF251,serum alanine aminotransferase measurement,0.5130324166520964,Undirected
ZNF268,cardiovascular disease,0.564045232601242,Undirected
ZNF268,BMI-adjusted waist-hip ratio,0.6045046466170619,Undirected
ZNF268,waist-hip ratio,0.5785122103808747,Undirected
ZNF208,benign neoplasm,0.5040564939501805,Undirected
ZNF675,brain measurement,0.5344941955636113,Undirected
ZNF675,cortical surface area measurement,0.6679523746933963,Undirected
ZNF726,Testicular Germ Cell Tumor,0.7088581527513813,Undirected
ZNF728,age at menopause,0.6477757330672675,Undirected
ZNF728,menopause,0.514192930981247,Undirected
ZNF728,Testicular Germ Cell Tumor,0.5104151990329768,Undirected
ZNF98,Young adult-onset Parkinsonism,0.5533999948195254,Undirected
ZNF133,bone density,0.5872200084873305,Undirected
ZNF133,urate measurement,0.5872200084873305,Undirected
ZNF133,body mass index,0.7698276435841551,Undirected
ZNF816,blood phosphate measurement,0.5047615462065966,Undirected
ZNF816,urate measurement,0.5045778161231278,Undirected
ZNF471,body height,0.5307466658453406,Undirected
ZNF470,alkaline phosphatase measurement,0.6067498061568187,Undirected
ZNF19,low density lipoprotein cholesterol measurement,0.593509616474834,Undirected
ZNF229,cholesteryl ester measurement,0.5936549797987487,Undirected
ZNF229,free cholesterol in small LDL measurement ,0.607930797611621,Undirected
ZNF229,phospholipids in small LDL measurement ,0.5694080570809977,Undirected
ZNF229,total cholesterol measurement,0.7613637714904222,Undirected
ZNF229,low density lipoprotein cholesterol measurement,0.8784113333947573,Undirected
ZNF229,apolipoprotein B measurement,0.9065694417138328,Undirected
ZNF676,telomere length,0.519541530744633,Undirected
ZNF676,IGF-1 measurement,0.5376435315142782,Undirected
ZFP1,lymphocyte count,0.6384967915015582,Undirected
ZFP1,body height,0.5763838088748191,Undirected
ZNF184,depressive symptom measurement,0.5386419090253631,Undirected
ZNF184,neuroticism measurement,0.5861453698696679,Undirected
ZNF184,mathematical ability,0.5951429625885002,Undirected
ZNF184,lymphocyte count,0.5346167142992614,Undirected
ZNF184,eosinophil count,0.5396650505941112,Undirected
ZNF823,schizophrenia,0.666660293528717,Undirected
ZFP57,"transient neonatal diabetes, dominant/recessive",0.7599134970145264,Undirected
ZFP57,transient neonatal diabetes mellitus,0.9128646122571644,Undirected
ZNF605,mean corpuscular hemoglobin concentration,0.5148450431647733,Undirected
ZNF789,mean corpuscular volume,0.5315836364352735,Undirected
ZNF132,platelet count,0.5661770907069652,Undirected
ZNF584,platelet count,0.5443297834614427,Undirected
ZNF585A,body height,0.6425202745030453,Undirected
ZNF487,platelet crit,0.5497169824106768,Undirected
ZNF487,platelet count,0.6496502195748781,Undirected
ZNF487,eosinophil count,0.5853325667785341,Undirected
ZNF320,monocyte count,0.5714506227031948,Undirected
ZFP90,systemic lupus erythematosus,0.5525742531673725,Undirected
ZFP90,Hepatic fibrosis,0.5088331706874939,Undirected
ZFP90,psoriasis,0.5163124540462686,Undirected
ZFP90,ulcerative colitis,0.669942526485702,Undirected
ZFP90,platelet crit,0.5093281813655937,Undirected
ZFP90,eosinophil count,0.75991674203294,Undirected
ZNF678,BMI-adjusted hip circumference,0.5148013330788981,Undirected
ZNF678,body fat distribution,0.6100005585316006,Undirected
ZNF678,BMI-adjusted waist circumference,0.5393766119994922,Undirected
ZNF678,body height,0.6025157300951499,Undirected
ZNF844,body height,0.5438093928600597,Undirected
ZNF485,body height,0.6493264584480506,Undirected
ZNF333,body height,0.5509568978213899,Undirected
ZNF90,viral load,0.5460196570007153,Undirected
ZNF169,refractive error measurement,0.5121939906099748,Undirected
ZNF169,birth weight,0.5614279045333395,Undirected
ZNF169,vital capacity,0.5115224013436658,Undirected
ZNF169,forced expiratory volume,0.5798542365081621,Undirected
ZNF169,Red cell distribution width,0.7160156365999681,Undirected
ZNF169,body mass index,0.6196059276945873,Undirected
ZNF169,mean corpuscular volume,0.6942409616160922,Undirected
ZNF169,body height,0.5829082612664785,Undirected
ZNF354C,cortical thickness,0.5529392151305097,Undirected
ZNF354C,body fat distribution,0.5766052882688959,Undirected
ZNF354C,brain measurement,0.5243340152025114,Undirected
ZNF354C,FEV/FVC ratio,0.6165762616249334,Undirected
ZNF354C,BMI-adjusted waist circumference,0.6532936335972724,Undirected
ZNF354C,body height,0.5162356251152163,Undirected
ZNF484,bone quantitative ultrasound measurement,0.564620253749047,Undirected
ZNF484,heel bone mineral density,0.7646346455984746,Undirected
ZNF283,heel bone mineral density,0.5236549747095288,Undirected
ZNF440,vitamin D measurement,0.567795826088966,Undirected
